major_category	trait_category	trait	n_qtl_rows	chrom_values	example_qtl_names	example_references	evidence_tier	notes
Resistance or Tolerance	Insect resistance	Brown planthopper	1	12	Bph18(t)	Jena, K.K., Jeung, J.U., Lee, J.H., Choi, H.C., and Brar, D.S. (2006). High-resolution mapping of a new brown planthopper (BPH) resistance gene, Bph18(t), and marker-assisted selection for BPH resistance in rice (Oryza sativa L.). Theor Appl Genet 112, 288-297.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	Damage score based on green house screening	1	1		Selvaraju, K., Shanmugasundaram, P., Mohankumar, S., Asaithambi, M., and Balasaraswathi, R. (2007). Detection of quantitative trait locus for leaffolder ( Cnaphalocrocis medinalis (Guen?e)) resistance in rice on linkage group 1 based on damage score and flag leaf width. Euphytica 157, 35-43.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	Days to wilt (DW4)	1	7		Soundararajan, R.P., Kadirvel, P., Gunathilagaraj, K., and Maheswaran, M. (2004). Mapping of Quantitative Trait Loci Associated with Resistance to Brown Planthopper in Rice by Means of a Doubled Haploid Population. Crop Sci. 44, 2214-2220.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	Egg mortality of WBPH	1	3		Yamasaki, M., Yoshimura, A., and Yasui, H. (2003). QTL mapping of rice ovicidal response to two planthopper species. Rice Genetics Newsletter 20, 81-83.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	GLH-resistance	1	3		Wang, C., Yasui, H., Yoshimura, A., Zhai, H., and Wan, J. (2004). Inheritance and QTL Mapping of Antibiosis to Green Leafhopper in Rice. Crop Sci. 44, 1039-a-.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	Green rice hopper	1	5		Yasui, H., and Yoshimura, A. (1999). QTL mapping of antibiosis to green leafhopper, Nephotettix virescens Distant and green rice leafhopper, Nephotettix cincticeps Uhler in rice, Oryza sativa L. Rice Genetics Newsletter 16, 96-98.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	Honeydew weight (HDW)	1	2		Soundararajan, R.P., Kadirvel, P., Gunathilagaraj, K., and Maheswaran, M. (2004). Mapping of Quantitative Trait Loci Associated with Resistance to Brown Planthopper in Rice by Means of a Doubled Haploid Population. Crop Sci. 44, 2214-2220.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	Length of the flag leaf	1	1		Selvaraju, K., Shanmugasundaram, P., Mohankumar, S., Asaithambi, M., and Balasaraswathi, R. (2007). Detection of quantitative trait locus for leaffolder ( Cnaphalocrocis medinalis (Guen?e)) resistance in rice on linkage group 1 based on damage score and flag leaf width. Euphytica 157, 35-43.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	Resistance　score	1	3	Qbp1	Huang, Z., He, G., Shu, L., Li, X., and Zhang, Q. (2001). Identification and mapping of two brown planthopper resistance genes in rice. TAG Theoretical and Applied Genetics 102, 929-934.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	Width of the flag leaf	1	1		Selvaraju, K., Shanmugasundaram, P., Mohankumar, S., Asaithambi, M., and Balasaraswathi, R. (2007). Detection of quantitative trait locus for leaffolder ( Cnaphalocrocis medinalis (Guen?e)) resistance in rice on linkage group 1 based on damage score and flag leaf width. Euphytica 157, 35-43.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	brown planthopperresistance	1	6	Bph3	Jairin, J., Phengrat, K., Teangdeerith, S., Vanavichit, A., and Toojinda, T. (2007). Mapping of a broad-spectrum brown planthopper resistance gene, Bph3, on rice chromosome 6. Molecular Breeding 19, 35-44.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	controlling nematode tolerance	1	6		Shrestha, R., Uzzo, F., Wilson, M.J., and Price, A.H. (2007). Physiological and genetic mapping study of tolerance to root-knot nematode in rice. New Phytologist 176, 665-672.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	green rice leafhopper	1	8	Grh5	Fujita, D., Doi, K., Yoshimura, A., and Yasui, H. (2006). Molecular mapping of a novel gene, Grh5, conferring resistance to green rice leafhopper (Nephotettix cincticeps Uhler) in rice, Oryza sativa L. Theor Appl Genet 113, 567-573.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	resistance to green rice leafhopper (GRH)	1	2	qGRH-2	Fujita, D., Yoshimura, A., and Yasui, H. (2002). Detection of QTLs associated with antibiosis to green rice leafhopper, Nephotettix cincticeps Uhler, in four Indica rice varieties. Rice Genetics Newsletter 19, 90-91.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	resistance-scoring	1	6	Qbph6	Sun, L., Liu, Y., Jiang, L., Su, C., Wang, C., Zhai, H., and Wan, J. (2007). Identification of quantitative trait loci associated with resistance to brown planthopper in the indica rice cultivar Col.5 Thailand. Hereditas 144, 48-52.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	rice stripe resistance	1	2		Maeda, H., Sugisawa, T., Nemoto, H., and Sunohara, Y. (2004). QTL Analysis for Rice Stripe Resistance in the Japanese Upland Rice Kanto72. Breeding Science 54, 19-26.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	score of brown planthopper	1	4	Bph 12(t)	Yang, H., Ren, X., Weng, Q., Zhu, L., and He, G. (2002). Molecular mapping and genetic analysis of a rice brown planthopper (Nilaparvata lugens Stal) resistance gene. Hereditas 136, 39-43.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	score of gall midge resistance	1	4	Gm7	Sardesai, N., Kumar, A., Rajyashri, R., Nair, S., and Mohan, M. (2002). Identification and mapping of an AFLP marker linked to Gm7, a gall midge resistance gene and its conversion to a SCAR marker for its utility in marker aided selection in rice. Theor Appl Genet 105, 691-698.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Lodging resistance	Stem diameter	1	1		Kashiwagi, T., and Ishimaru, K. (2004). Identification and Functional Analysis of a Locus for Improvement of Lodging Resistance in Rice. Plant Physiology 134, 676-683.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Lodging resistance	pushing resistance of thelower part	1	6		Kashiwagi, T., and Ishimaru, K. (2004). Identification and Functional Analysis of a Locus for Improvement of Lodging Resistance in Rice. Plant Physiology 134, 676-683.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other disease resistance	Sheath rot resistance	1	1		Hittalmani, S., Girishkumar, K., Bagali, P.G., Srinivasachary, and Shashidar, H.E. (1999). Identification of QTLs associated with sheath rot resistance in two mapping populations of rice (Oryza sativa L.). Rice Genetics Newsletter 16, 87-90.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other disease resistance	resistance to rice yellow mottle virus	1	12	RG869	Pressoir, G., Albar, L., Ahmadi, N., Rimbault, I., Lorieux, M., Fargette, D., and Ghesqui?re, A. (1998). Genetic basis and mapping of the resistance to rice yellow mottle virus. II. Evidence of a complementary epistasis between two QTLs. TAG Theoretical and Applied Genetics 97, 1155-1161.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Arsenate tolerance	1	10	AsTol10	Norton, G.J., Nigar, M., Williams, P.N., Dasgupta, T., Meharg, A.A., and Price, A.H. (2008). Rice-arsenate interactions in hydroponics: a three-gene model for tolerance. J Exp Bot 59, 2277-2284.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Boron tolerance	1	4		Ochiai, K., Uemura, S., Shimizu, A., Okumoto, Y., and Matoh, T. (2008). Boron toxicity in rice (Oryza sativa L.). I. Quantitative trait locus (QTL) analysis of tolerance to boron toxicity. Theor Appl Genet 117, 125-133.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Cd concentration in brown rice	1	8		Ishikawa, S., Ae, N., and Yano, M. (2005). Chromosomal regions with quantitative trait loci controlling cadmium concentration in brown rice (Oryza sativa). New Phytol 168, 345-350.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Conditional Relative root length (4-week/2-week)	1	12		Wu, P., Liao, C.Y., Hu, B., Yi, K.K., Wei, J., Ni, J.J., and He, C. (1999). Genetic analysis for aluminum tolerance in rice (Oryza sativa L.) via molecular markers. Rice Genetics Newsletter 16, 48-51.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Dead leaf rate at 20 days	1	11	qDLR11	Qi, D., Guo, G., Lee, M.C., Zhang, J., Cao, G., Zhang, S., Suh, S.C., Zhou, Q., and Han, L. (2008). Identification of quantitative trait loci for the dead leaf rate and the seedling dead rate under alkaline stress in rice. J Genet Genomics 35, 299-305.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Dead leaf rate at 27 days	1	2	qDLR2-1	Qi, D., Guo, G., Lee, M.C., Zhang, J., Cao, G., Zhang, S., Suh, S.C., Zhou, Q., and Han, L. (2008). Identification of quantitative trait loci for the dead leaf rate and the seedling dead rate under alkaline stress in rice. J Genet Genomics 35, 299-305.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Dead leaf rate at 34 days	1	2	qDLR2-1	Qi, D., Guo, G., Lee, M.C., Zhang, J., Cao, G., Zhang, S., Suh, S.C., Zhou, Q., and Han, L. (2008). Identification of quantitative trait loci for the dead leaf rate and the seedling dead rate under alkaline stress in rice. J Genet Genomics 35, 299-305.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Dead leaf rate at 41 days	1	4	qDLR4	Qi, D., Guo, G., Lee, M.C., Zhang, J., Cao, G., Zhang, S., Suh, S.C., Zhou, Q., and Han, L. (2008). Identification of quantitative trait loci for the dead leaf rate and the seedling dead rate under alkaline stress in rice. J Genet Genomics 35, 299-305.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Dead leaf rate at 48 days	1	4	qDLR4	Qi, D., Guo, G., Lee, M.C., Zhang, J., Cao, G., Zhang, S., Suh, S.C., Zhou, Q., and Han, L. (2008). Identification of quantitative trait loci for the dead leaf rate and the seedling dead rate under alkaline stress in rice. J Genet Genomics 35, 299-305.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Dead leaf rate at 55 days	1	3	qDLR3	Qi, D., Guo, G., Lee, M.C., Zhang, J., Cao, G., Zhang, S., Suh, S.C., Zhou, Q., and Han, L. (2008). Identification of quantitative trait loci for the dead leaf rate and the seedling dead rate under alkaline stress in rice. J Genet Genomics 35, 299-305.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Dead leaf rate at 62 days	1	6	qDLR6-2	Qi, D., Guo, G., Lee, M.C., Zhang, J., Cao, G., Zhang, S., Suh, S.C., Zhou, Q., and Han, L. (2008). Identification of quantitative trait loci for the dead leaf rate and the seedling dead rate under alkaline stress in rice. J Genet Genomics 35, 299-305.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Dead seedling rate at 62 days	1	8	qDSR 8	Qi, D., Guo, G., Lee, M.C., Zhang, J., Cao, G., Zhang, S., Suh, S.C., Zhou, Q., and Han, L. (2008). Identification of quantitative trait loci for the dead leaf rate and the seedling dead rate under alkaline stress in rice. J Genet Genomics 35, 299-305.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	P uptake	1	10		Wissuwa, M., Yano, M., and Ae, N. (1998). Mapping of QTLs for phosphorus-deficiency tolerance in rice (Oryza sativa L.). TAG Theoretical and Applied Genetics 97, 777-783.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	P-use eficiency	1	4		Wissuwa, M., Yano, M., and Ae, N. (1998). Mapping of QTLs for phosphorus-deficiency tolerance in rice (Oryza sativa L.). TAG Theoretical and Applied Genetics 97, 777-783.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	"Plant height (High N level, Nutrient solution culture, )"""""	1	1		Fang, P., and Wu, P. (2001). QTL × N-level interaction for plant height in rice (Oriza Sativa L.). Plant and Soil 236, 237-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	"Plant height (High N level, Soil culture , Heading stage )"""""	1	1		Fang, P., and Wu, P. (2001). QTL × N-level interaction for plant height in rice (Oriza Sativa L.). Plant and Soil 236, 237-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	"Plant height (High N level, Soil culture , Maturity  )"""""	1	1		Fang, P., and Wu, P. (2001). QTL × N-level interaction for plant height in rice (Oriza Sativa L.). Plant and Soil 236, 237-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	"Plant height (High N level, Soil culture , Tillering stage )"""""	1	1		Fang, P., and Wu, P. (2001). QTL × N-level interaction for plant height in rice (Oriza Sativa L.). Plant and Soil 236, 237-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	"Plant height (Low N level, Nutrient solution culture, )"""""	1	1		Fang, P., and Wu, P. (2001). QTL × N-level interaction for plant height in rice (Oriza Sativa L.). Plant and Soil 236, 237-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	"Plant height (Low N level, Soil culture , Heading stage )"""""	1	1		Fang, P., and Wu, P. (2001). QTL × N-level interaction for plant height in rice (Oriza Sativa L.). Plant and Soil 236, 237-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	"Plant height (Low N level, Soil culture , Maturity  )"""""	1	1		Fang, P., and Wu, P. (2001). QTL × N-level interaction for plant height in rice (Oriza Sativa L.). Plant and Soil 236, 237-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	"Plant height (Low N level, Soil culture , Tillering Stage )"""""	1	1		Fang, P., and Wu, P. (2001). QTL × N-level interaction for plant height in rice (Oriza Sativa L.). Plant and Soil 236, 237-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Plant mortality  (Sep-Dec)	1	1	Zmt1	Wissuwa, M., Ismail, A.M., and Yanagihara, S. (2006). Effects of Zinc Deficiency on Rice Growth and Genetic Factors Contributing to Tolerance. Plant Physiology 142, 731-741.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Plant weight low N condition	1	3	n-p3	Lian, X., Xing, Y., Yan, H., Xu, C., Li, X., and Zhang, Q. (2005). QTLs for low nitrogen tolerance at seedling stage identified using a recombinant inbred line population derived from an elite rice hybrid. Theor Appl Genet 112, 85-96.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Plant weight normal N condition	1	1	n+p1a	Lian, X., Xing, Y., Yan, H., Xu, C., Li, X., and Zhang, Q. (2005). QTLs for low nitrogen tolerance at seedling stage identified using a recombinant inbred line population derived from an elite rice hybrid. Theor Appl Genet 112, 85-96.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Relative root dry weight	1	12		Ni, J.J., Wu, P., Senadhira, D., and Huang, N. (1998). Mapping QTLs for phosphorus deficiency tolerance in rice (Oryza sativa L.). TAG Theoretical and Applied Genetics 97, 1361-1369.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Relative root length after 2 weeks stress	1	1		Wu, P., Liao, C.Y., Hu, B., Yi, K.K., Wei, J., Ni, J.J., and He, C. (1999). Genetic analysis for aluminum tolerance in rice (Oryza sativa L.) via molecular markers. Rice Genetics Newsletter 16, 48-51.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Relative root length after 4 weeks stress	1	12		Wu, P., Liao, C.Y., Hu, B., Yi, K.K., Wei, J., Ni, J.J., and He, C. (1999). Genetic analysis for aluminum tolerance in rice (Oryza sativa L.) via molecular markers. Rice Genetics Newsletter 16, 48-51.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Relative root weight	1	1	rrw1b	Lian, X., Xing, Y., Yan, H., Xu, C., Li, X., and Zhang, Q. (2005). QTLs for low nitrogen tolerance at seedling stage identified using a recombinant inbred line population derived from an elite rice hybrid. Theor Appl Genet 112, 85-96.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Relative shoot dry weight	1	12		Ni, J.J., Wu, P., Senadhira, D., and Huang, N. (1998). Mapping QTLs for phosphorus deficiency tolerance in rice (Oryza sativa L.). TAG Theoretical and Applied Genetics 97, 1361-1369.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Relative shoot weight	1	1	rsw1c	Lian, X., Xing, Y., Yan, H., Xu, C., Li, X., and Zhang, Q. (2005). QTLs for low nitrogen tolerance at seedling stage identified using a recombinant inbred line population derived from an elite rice hybrid. Theor Appl Genet 112, 85-96.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Relative tillering ability	1	12		Ni, J.J., Wu, P., Senadhira, D., and Huang, N. (1998). Mapping QTLs for phosphorus deficiency tolerance in rice (Oryza sativa L.). TAG Theoretical and Applied Genetics 97, 1361-1369.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Root length	1	7		Wan, J.L., Zhai, H.Q., Wan, J.M., Yasui, H., and Yoshimura, A. (2003). Mapping QTL for traits associated with resistance to ferrous iron toxicity in rice (Oryza sativa L.), using japonica chromosome segment substitution lines. Yi Chuan Xue Bao 30, 893-898.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Root number (Water deficit)	1	1	qRNd1	Cui, K., Huang, J., Xing, Y., Yu, S., Xu, C., and Peng, S. (2008). Mapping QTLs for seedling characteristics under different water supply conditions in rice (Oryza sativa). Physiol Plant 132, 53-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Root number (Well watered)	1	5	qRNw5	Cui, K., Huang, J., Xing, Y., Yu, S., Xu, C., and Peng, S. (2008). Mapping QTLs for seedling characteristics under different water supply conditions in rice (Oryza sativa). Physiol Plant 132, 53-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Shoot weight low N condition	1	4	n-s4	Lian, X., Xing, Y., Yan, H., Xu, C., Li, X., and Zhang, Q. (2005). QTLs for low nitrogen tolerance at seedling stage identified using a recombinant inbred line population derived from an elite rice hybrid. Theor Appl Genet 112, 85-96.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Shoot weight normal N condition	1	1	n+s1a	Lian, X., Xing, Y., Yan, H., Xu, C., Li, X., and Zhang, Q. (2005). QTLs for low nitrogen tolerance at seedling stage identified using a recombinant inbred line population derived from an elite rice hybrid. Theor Appl Genet 112, 85-96.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Stem dry weight	1	1		Wan, J.-l., Zhai, H.-q., Wan, J.-m., and Ikehashi, H. (2003). Detection and analysis of QTLs for ferrous iron toxicity tolerance in rice, Oryza sativa L. Euphytica V131, 201-206.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Tiller number	1	1		Wan, J.-l., Zhai, H.-q., Wan, J.-m., and Ikehashi, H. (2003). Detection and analysis of QTLs for ferrous iron toxicity tolerance in rice, Oryza sativa L. Euphytica V131, 201-206.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Zn2+ toxicity tolerance	1	3	qZNT-3	Dong, Y.J., Ogawa, T., Kamiunten, H., Lin, D.Z., Cheng, S.H., Terao, H., and Matsuo, M. (2004). Detection of QTLs for zinc toxicity tolerance in rice (Oryza sativa L.). Rice Genetics Newsletter 21, 33-36.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	arsenic concentrations in brown rice	1	8	AsSe2	Zhang, J., Zhu, Y.G., Zeng, D.L., Cheng, W.D., Qian, Q., and Duan, G.L. (2008). Mapping quantitative trait loci associated with arsenic accumulation in rice (Oryza sativa). New Phytol 177, 350-355.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	arsenic concentrations in shoots	1	2	AsS	Zhang, J., Zhu, Y.G., Zeng, D.L., Cheng, W.D., Qian, Q., and Duan, G.L. (2008). Mapping quantitative trait loci associated with arsenic accumulation in rice (Oryza sativa). New Phytol 177, 350-355.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	control root elongation	1	8	qCRE-8	Xue, Y., Wan, J., Jiang, L., Wang, C., Liu, L., Zhang, Y.-m., and Zhai, H. (2006). Identification of Quantitative Trait Loci Associated with Aluminum Tolerance in Rice (Oryza Sativa L.). Euphytica V150, 37-45.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	iron concentration in shoot tissue	1	1		Zhu, J.M., Senadhira, D., Liao, C.Y., Wu, Y.R., Hu, B., and Paterson, A.H. (1998). Characterization of tissue tolerance to iron by molecular markers in different lines of rice. Plant Soil 203, 217-226.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	leaf bronzing index	1	1		Zhu, J.M., Senadhira, D., Liao, C.Y., Wu, Y.R., Hu, B., and Paterson, A.H. (1998). Characterization of tissue tolerance to iron by molecular markers in different lines of rice. Plant Soil 203, 217-226.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	maximum root length (2 weeks-stress)	1	1		Wu, P., Liao, C.Y., Hu, B., Yi, K.K., Jin, W.Z., Ni, J.J., and He, C. (2000). QTLs and epistasis for aluminum tolerance in rice (Oryza sativa L.) at different seedling stages. TAG Theoretical and Applied Genetics 100, 1295-1303.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	maximum root length (Water deficit)	1	2	qMRLd2	Cui, K., Huang, J., Xing, Y., Yu, S., Xu, C., and Peng, S. (2008). Mapping QTLs for seedling characteristics under different water supply conditions in rice (Oryza sativa). Physiol Plant 132, 53-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	maximum root length (Well watered)	1	8	qMRLw8	Cui, K., Huang, J., Xing, Y., Yu, S., Xu, C., and Peng, S. (2008). Mapping QTLs for seedling characteristics under different water supply conditions in rice (Oryza sativa). Physiol Plant 132, 53-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	maximum root length (after 4-weeks stress)	1	12		Wu, P., Liao, C.Y., Hu, B., Yi, K.K., Jin, W.Z., Ni, J.J., and He, C. (2000). QTLs and epistasis for aluminum tolerance in rice (Oryza sativa L.) at different seedling stages. TAG Theoretical and Applied Genetics 100, 1295-1303.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	plant height (Water deficit)	1	1	qPHd1	Cui, K., Huang, J., Xing, Y., Yu, S., Xu, C., and Peng, S. (2008). Mapping QTLs for seedling characteristics under different water supply conditions in rice (Oryza sativa). Physiol Plant 132, 53-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	plant height (Well watered)	1	6	qPHw6-2	Cui, K., Huang, J., Xing, Y., Yu, S., Xu, C., and Peng, S. (2008). Mapping QTLs for seedling characteristics under different water supply conditions in rice (Oryza sativa). Physiol Plant 132, 53-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	relative P allocation between shoot and root	1	2	qRPA-2-c	Ming, F., Zheng, X., Mi, G., Zhu, L., and Zhang, F. (2001). Detection and verification of quantitative trait loci affecting tolerance to low phosphorus in rice. Journal of Plant Nutrition 24, 1399-1408	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	relative root elongation (an indicator for Al tolerance)	1	8	qRRE-8	Xue, Y., Jiang, L., Ma, J.F., Zhai, H.Q., and Wan, J.M. (2003). Identification of Quantitative Trait Loci for Al Toxicity Tolerance in Rice (Oryza Sativa L.). Rice Genetics Newsletter 20, 60-62.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	relative root length (RRL)	1	1		Mao, C.Z., Yang, L., Zheng, B.S., Wu, Y.R., Liu, F.Y., Yi, K.K., and Wu, P. (2004). Comparative mapping of QTLs for Al tolerance in rice and identification of positional Al-induced genes. J Zhejiang Univ Sci 5, 634-643.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	root elongation under phosphorus deficiency	1	6	qREP-6	Shimizu, A., Kato, K., Komatsu, A., Motomura, K., and Ikehashi, H. (2008). Genetic analysis of root elongation induced by phosphorus deficiency in rice (Oryza sativa L.): fine QTL mapping and multivariate analysis of related traits. Theor Appl Genet.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	root fresh weight (Water deficit)	1	3	qRFWd3-2	Cui, K., Huang, J., Xing, Y., Yu, S., Xu, C., and Peng, S. (2008). Mapping QTLs for seedling characteristics under different water supply conditions in rice (Oryza sativa). Physiol Plant 132, 53-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	root fresh weight (Well watered)	1	3	qRFWw3	Cui, K., Huang, J., Xing, Y., Yu, S., Xu, C., and Peng, S. (2008). Mapping QTLs for seedling characteristics under different water supply conditions in rice (Oryza sativa). Physiol Plant 132, 53-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	root length	1	6	AsTol	Dasgupta, T., Hossain, S.A., Meharg, A.A., and Price, A.H. (2004). An arsenate tolerance gene on chromosome 6 of rice. New Phytologist 163, 45-49.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
